Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
personal, author-navigation,0.169,5,1.000,34,0.006,0.000,10.873
personal, author-navigation,0.169,5,1.000,34,0.004,0.001,10.610
personal, author-navigation,0.169,5,1.000,34,0.005,0.000,10.579
personal, author-sidebar,0.298,10,1.000,92,0.015,0.001,18.918
personal, author-sidebar,0.584,10,0.500,92,0.013,0.001,18.753
personal, author-sidebar,0.298,10,1.000,92,0.014,0.001,19.156
personal, author-bio,0.333,14,0.900,129,0.020,0.002,25.134
personal, author-bio,0.333,14,0.900,129,0.021,0.002,24.828
personal, author-bio,0.333,14,0.900,129,0.020,0.002,25.001
personal, author-pubs,-,-,-,-,-,-,-,-
personal, author-pubs,-,-,-,-,-,-,-,-
personal, author-pubs,-,-,-,-,-,-,-,-
icse, icse-logo,3.464,3,0.667,14,0.002,0.001,8.223
icse, icse-logo,3.464,3,0.667,14,0.002,0.000,7.887
icse, icse-logo,3.464,3,0.667,14,0.002,0.001,7.921
icse, icse-navigation,0.292,20,0.875,215,0.030,0.001,35.899
icse, icse-navigation,0.292,20,0.875,214,0.029,0.001,37.377
icse, icse-navigation,0.262,20,1.000,213,0.031,0.001,36.021
icse, icse-photos,0.132,20,1.000,227,0.027,0.002,31.612
icse, icse-photos,0.132,20,1.000,227,0.032,0.002,31.713
icse, icse-photos,0.132,20,1.000,227,0.031,0.002,31.672
icse, icse-tracks,0.228,25,0.940,362,0.044,0.002,84.488
icse, icse-tracks,0.228,25,0.940,363,0.044,0.002,81.075
icse, icse-tracks,0.228,25,0.940,363,0.044,0.002,88.454
icse, icse-dates,0.512,61,0.787,642,0.165,0.007,93.986
icse, icse-dates,0.392,61,0.885,642,0.163,0.007,90.976
icse, icse-dates,0.392,61,0.885,642,0.189,0.008,94.682
icse, icse-news,0.517,17,0.529,144,0.022,0.001,25.949
icse, icse-news,0.517,17,0.529,144,0.029,0.002,27.009
icse, icse-news,0.358,17,1.000,141,0.021,0.001,25.796
icse, icse-content,0.384,22,0.977,212,0.030,0.003,39.495
icse, icse-content,0.382,22,0.977,212,0.029,0.003,39.725
icse, icse-content,0.382,22,0.977,212,0.030,0.004,41.544
icse, icse-footer,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
hackernews, hn-header,0.647,17,0.888,176,0.032,0.001,25.538
hackernews, hn-header,0.661,17,0.829,176,0.025,0.001,25.483
hackernews, hn-header,0.647,17,0.888,176,0.022,0.002,25.796
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-post,0.269,10,0.990,96,0.012,0.001,19.237
hackernews, hn-post,0.271,10,0.950,95,0.012,0.001,18.649
hackernews, hn-post,0.271,10,0.950,96,0.014,0.001,18.864
hackernews, hn-footer,0.175,11,1.000,128,0.017,0.001,20.589
hackernews, hn-footer,0.175,11,1.000,128,0.017,0.001,20.602
hackernews, hn-footer,0.175,11,1.000,128,0.018,0.001,20.836
hackernews, hn-search,0.244,2,1.000,7,0.001,0.000,6.794
hackernews, hn-search,0.244,2,1.000,7,0.001,0.001,6.947
hackernews, hn-search,0.244,2,1.000,7,0.001,0.000,6.834
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-sidebar-logo,0.102,3,1.000,18,0.003,0.000,9.117
ace, ace-sidebar-logo,0.102,3,1.000,18,0.003,0.000,8.553
ace, ace-sidebar-logo,0.102,3,1.000,18,0.003,0.001,8.611
ace, ace-option-toggle,0.385,7,1.000,57,0.009,0.001,15.321
ace, ace-option-toggle,0.385,7,1.000,58,0.008,0.001,15.208
ace, ace-option-toggle,0.385,7,1.000,58,0.010,0.001,15.396
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-sidebar-footer,0.199,11,1.000,112,0.017,0.001,20.070
ace, ace-sidebar-footer,0.199,11,1.000,112,0.016,0.001,20.354
ace, ace-sidebar-footer,0.199,11,1.000,112,0.017,0.000,20.642
ace, ace-editor,0.125,5,0.980,46,0.005,0.001,10.779
ace, ace-editor,0.125,5,0.980,46,0.005,0.001,10.726
ace, ace-editor,0.125,5,0.980,46,0.007,0.001,10.761
ace, ace-prompt,0.141,4,1.000,39,0.007,0.001,10.221
ace, ace-prompt,0.141,4,1.000,39,0.006,0.000,10.096
ace, ace-prompt,0.141,4,1.000,39,0.007,0.001,10.099
overview, overview-header,0.066,4,1.000,28,0.003,0.001,8.827
overview, overview-header,0.066,4,1.000,28,0.003,0.001,8.936
overview, overview-header,0.066,4,1.000,28,0.004,0.000,8.955
overview, overview-hero,0.109,10,1.000,92,0.012,0.001,16.506
overview, overview-hero,0.109,10,1.000,92,0.013,0.001,16.558
overview, overview-hero,0.109,10,1.000,92,0.011,0.001,16.576
overview, overview-authors,-,-,-,-,-,-,-,-
overview, overview-authors,0.321,27,0.970,260,0.046,0.003,59.100
overview, overview-authors,0.321,27,0.970,260,0.052,0.004,67.214
overview, overview-author,0.271,6,1.000,53,0.007,0.001,13.660
overview, overview-author,0.271,6,1.000,53,0.008,0.001,11.651
overview, overview-author,0.271,6,1.000,53,0.008,0.001,11.464
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,5.963
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,6.102
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,5.945
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-item,0.439,12,1.000,104,0.016,0.001,20.213
fwt-main, fwt-main-item,0.345,12,1.000,108,0.015,0.001,19.659
fwt-main, fwt-main-item,0.345,12,1.000,108,0.018,0.001,19.598
fwt-main, fwt-main-footer,0.425,19,1.000,165,0.025,0.002,31.135
fwt-main, fwt-main-footer,0.425,19,1.000,165,0.024,0.002,31.541
fwt-main, fwt-main-footer,0.425,19,1.000,165,0.026,0.002,30.781
ieee, ieee-navigation,0.334,23,1.000,190,0.028,0.002,36.834
ieee, ieee-navigation,0.361,23,1.000,175,0.041,0.003,36.305
ieee, ieee-navigation,0.350,23,1.000,181,0.031,0.002,37.488
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,6.014
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,5.989
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,5.993
ieee, ieee-authors,0.459,46,0.685,464,0.120,0.003,71.319
ieee, ieee-authors,0.459,46,0.685,464,0.126,0.002,70.276
ieee, ieee-authors,0.459,46,0.685,464,0.105,0.002,72.044
ieee, ieee-articles,0.439,27,0.833,263,0.041,0.002,39.124
ieee, ieee-articles,0.381,27,1.000,266,0.054,0.002,38.947
ieee, ieee-articles,0.366,27,1.000,264,0.042,0.002,38.762
ieee, ieee-news,0.289,36,0.986,363,0.066,0.001,49.319
ieee, ieee-news,0.253,36,0.986,363,0.067,0.001,51.259
ieee, ieee-news,0.292,36,0.986,363,0.065,0.001,51.179
ieee, ieee-conferences,0.421,62,0.855,632,0.234,0.007,93.728
ieee, ieee-conferences,0.424,62,0.855,628,0.197,0.007,94.601
ieee, ieee-conferences,0.427,62,0.839,631,0.176,0.007,91.809
ieee, ieee-footer,0.335,49,1.000,436,0.130,0.007,67.065
ieee, ieee-footer,0.329,49,1.000,434,0.122,0.010,67.558
ieee, ieee-footer,0.332,49,1.000,436,0.128,0.011,67.471
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,8.823
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,8.684
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,8.780
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.001,8.686
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.002,0.000,8.632
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.000,8.670
fwt-space, fwt-space-logo,0.139,11,1.000,155,0.024,0.001,24.460
fwt-space, fwt-space-logo,0.139,11,1.000,155,0.018,0.001,24.452
fwt-space, fwt-space-logo,0.139,11,1.000,155,0.018,0.001,24.301
fwt-space, fwt-space-featured,0.100,5,1.000,51,0.006,0.001,11.517
fwt-space, fwt-space-featured,0.100,5,1.000,51,0.006,0.001,11.379
fwt-space, fwt-space-featured,0.100,5,1.000,51,0.013,0.000,11.601
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.008,0.000,11.405
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.007,0.000,11.449
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.007,0.001,11.410
fwt-space, fwt-space-blogs,0.246,13,1.000,171,0.019,0.001,25.377
fwt-space, fwt-space-blogs,0.246,13,1.000,171,0.021,0.001,24.737
fwt-space, fwt-space-blogs,0.262,13,1.000,171,0.023,0.001,24.590
fwt-space, fwt-space-social,0.000,8,1.000,80,0.011,0.001,14.549
fwt-space, fwt-space-social,0.000,8,1.000,80,0.012,0.001,14.724
fwt-space, fwt-space-social,0.000,8,1.000,80,0.011,0.001,14.607
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.185
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.189
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.230
fwt-running, fwt-running-header,0.183,10,1.000,86,0.016,0.001,16.678
fwt-running, fwt-running-header,0.183,10,1.000,85,0.011,0.001,16.804
fwt-running, fwt-running-header,0.183,10,1.000,86,0.012,0.001,16.666
fwt-running, fwt-running-navigation,0.171,14,1.000,108,0.016,0.001,26.126
fwt-running, fwt-running-navigation,0.169,14,1.000,108,0.020,0.002,23.591
fwt-running, fwt-running-navigation,0.174,14,1.000,108,0.016,0.001,23.377
fwt-running, fwt-running-content,0.280,12,1.000,147,0.017,0.001,28.410
fwt-running, fwt-running-content,0.280,12,1.000,147,0.018,0.001,29.512
