Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
fwt-main, fwt-main-footer,0.100,19,1.000,167,0.027,0.002,10.109
fwt-main, fwt-main-footer,0.100,19,1.000,165,0.027,0.002,10.254
fwt-main, fwt-main-footer,0.100,19,1.000,165,0.027,0.002,10.154
ieee, ieee-navigation,0.150,23,1.000,174,0.035,0.002,11.093
ieee, ieee-navigation,0.152,23,1.000,175,0.039,0.004,10.830
ieee, ieee-navigation,0.150,23,1.000,175,0.036,0.002,11.032
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,5.819
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,5.697
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,5.839
ieee, ieee-authors,135.598,46,0.935,494,0.119,0.002,17.057
ieee, ieee-authors,135.603,46,0.935,494,0.125,0.003,18.319
ieee, ieee-authors,135.603,46,0.935,494,0.126,0.002,17.146
ieee, ieee-articles,0.350,27,1.000,244,0.045,0.003,11.558
ieee, ieee-articles,0.175,27,1.000,272,0.045,0.002,11.525
ieee, ieee-articles,0.175,27,1.000,272,0.048,0.002,11.369
ieee, ieee-news,0.260,36,1.000,383,0.076,0.001,13.751
ieee, ieee-news,0.260,36,1.000,383,0.082,0.002,13.770
ieee, ieee-news,0.260,36,1.000,383,0.082,0.001,13.886
ieee, ieee-conferences,0.156,62,1.000,647,0.211,0.007,22.124
ieee, ieee-conferences,0.169,62,1.000,610,0.198,0.009,25.796
ieee, ieee-conferences,0.169,62,1.000,643,0.185,0.007,22.665
ieee, ieee-footer,194.798,49,0.837,434,0.116,0.004,17.984
ieee, ieee-footer,194.798,49,0.837,428,0.126,0.012,17.696
ieee, ieee-footer,194.798,49,0.837,439,0.120,0.007,17.585
fwt-space, fwt-space-header,0.100,3,1.000,24,0.003,0.000,6.200
fwt-space, fwt-space-header,0.100,3,1.000,24,0.003,0.000,6.171
fwt-space, fwt-space-header,0.100,3,1.000,24,0.004,0.000,6.167
fwt-space, fwt-space-navigation,0.100,3,1.000,24,0.003,0.001,6.176
fwt-space, fwt-space-navigation,0.100,3,1.000,24,0.003,0.000,6.161
fwt-space, fwt-space-navigation,0.100,3,1.000,24,0.003,0.000,6.139
fwt-space, fwt-space-logo,0.205,11,1.000,168,0.020,0.001,8.879
fwt-space, fwt-space-logo,0.177,11,1.000,172,0.018,0.001,8.421
fwt-space, fwt-space-logo,0.205,11,1.000,168,0.019,0.001,8.400
fwt-space, fwt-space-featured,0.100,5,1.000,53,0.007,0.001,6.761
fwt-space, fwt-space-featured,0.100,5,1.000,53,0.006,0.001,6.546
fwt-space, fwt-space-featured,0.100,5,1.000,53,0.007,0.000,6.507
fwt-space, fwt-space-vids,0.248,5,1.000,53,0.006,0.001,6.667
fwt-space, fwt-space-vids,0.248,5,1.000,53,0.007,0.001,6.543
fwt-space, fwt-space-vids,0.248,5,1.000,53,0.006,0.001,6.512
fwt-space, fwt-space-blogs,0.213,13,1.000,182,0.022,0.003,8.666
fwt-space, fwt-space-blogs,0.222,13,1.000,186,0.024,0.002,8.451
fwt-space, fwt-space-blogs,0.176,13,1.000,186,0.024,0.001,8.597
fwt-space, fwt-space-social,0.000,8,1.000,86,0.011,0.001,7.135
fwt-space, fwt-space-social,0.000,8,1.000,86,0.012,0.000,7.039
fwt-space, fwt-space-social,0.000,8,1.000,86,0.012,0.001,7.114
fwt-space, fwt-space-footer,0.473,2,1.000,7,0.001,0.001,6.044
fwt-space, fwt-space-footer,0.473,2,1.000,7,0.001,0.001,6.033
fwt-space, fwt-space-footer,0.473,2,1.000,7,0.002,0.000,6.074
fwt-running, fwt-running-header,0.000,10,1.000,88,0.013,0.001,7.590
fwt-running, fwt-running-header,0.000,10,1.000,88,0.012,0.001,7.515
fwt-running, fwt-running-header,0.000,10,1.000,88,0.014,0.001,7.806
fwt-running, fwt-running-navigation,0.041,14,1.000,112,0.020,0.001,8.772
fwt-running, fwt-running-navigation,0.046,14,1.000,112,0.019,0.001,8.721
fwt-running, fwt-running-navigation,0.004,14,1.000,112,0.020,0.001,8.679
fwt-running, fwt-running-content,0.000,12,1.000,168,0.021,0.001,8.949
fwt-running, fwt-running-content,0.000,12,1.000,168,0.020,0.001,8.965
fwt-running, fwt-running-content,0.000,12,1.000,168,0.023,0.001,8.926
fwt-running, fwt-running-footer,0.000,9,1.000,98,0.013,0.001,7.253
fwt-running, fwt-running-footer,0.000,9,1.000,98,0.015,0.001,7.355
fwt-running, fwt-running-footer,0.000,9,1.000,98,0.015,0.001,7.253
synthetic, 2-boxes,0.000,3,1.000,15,0.003,0.001,6.119
synthetic, 2-boxes,0.000,3,1.000,15,0.003,0.001,9.166
synthetic, 2-boxes,0.000,3,1.000,15,0.002,0.001,7.561
synthetic, 3-boxes,0.000,4,1.000,25,0.004,0.001,7.064
synthetic, 3-boxes,0.000,4,1.000,25,0.004,0.001,7.034
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.001,6.802
synthetic, centered,36.745,2,0.500,4,0.001,0.001,6.528
synthetic, centered,36.745,2,0.500,4,0.001,0.001,6.079
synthetic, centered,36.745,2,0.500,4,0.001,0.000,6.082
synthetic, 2-2-boxes,0.000,7,1.000,61,0.008,0.001,7.009
synthetic, 2-2-boxes,0.000,7,1.000,61,0.008,0.001,6.879
synthetic, 2-2-boxes,0.000,7,1.000,55,0.008,0.001,7.088
synthetic, 3-2-boxes,0.000,8,1.000,74,0.009,0.001,7.086
synthetic, 3-2-boxes,0.000,8,1.000,74,0.009,0.001,7.184
synthetic, 3-2-boxes,0.000,8,1.000,65,0.009,0.001,7.274
duckduckgo, ddg-header,0.282,8,1.000,51,0.009,0.001,7.317
duckduckgo, ddg-header,0.282,8,1.000,51,0.010,0.001,7.486
duckduckgo, ddg-header,0.280,8,1.000,51,0.008,0.002,7.593
duckduckgo, ddg-logo,64.685,6,0.333,39,0.006,0.001,7.035
duckduckgo, ddg-logo,64.685,6,0.333,39,0.006,0.001,6.898
duckduckgo, ddg-logo,64.685,6,0.333,39,0.006,0.001,6.814
duckduckgo, ddg-searchbar,27.425,4,0.250,28,0.004,0.001,6.457
duckduckgo, ddg-searchbar,27.425,4,0.250,28,0.004,0.001,6.385
duckduckgo, ddg-searchbar,27.425,4,0.250,28,0.004,0.001,6.339
duckduckgo, ddg-privacy,0.197,15,1.000,140,0.022,0.002,9.137
duckduckgo, ddg-privacy,0.197,15,1.000,140,0.022,0.002,9.178
duckduckgo, ddg-privacy,0.274,15,1.000,140,0.023,0.001,8.988
duckduckgo, ddg-minipages,121.434,16,0.062,150,0.024,0.001,9.010
duckduckgo, ddg-minipages,121.434,16,0.062,150,0.023,0.001,9.008
duckduckgo, ddg-minipages,121.434,16,0.062,150,0.022,0.001,9.049
duckduckgo, ddg-large-blurb,63.477,5,0.800,42,0.005,0.001,6.529
duckduckgo, ddg-large-blurb,63.477,5,0.800,42,0.006,0.001,6.541
duckduckgo, ddg-large-blurb,63.477,5,0.800,42,0.005,0.001,6.528
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,5.815
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,5.810
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,5.872
