Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
fwt-space, fwt-space-featured,0.100,5,1.000,51,0.007,0.001,11.446
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.007,0.001,11.378
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.007,0.001,11.477
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.006,0.000,11.288
fwt-space, fwt-space-blogs,0.246,13,1.000,171,0.022,0.001,24.652
fwt-space, fwt-space-blogs,0.246,13,1.000,171,0.027,0.001,24.400
fwt-space, fwt-space-blogs,0.246,13,1.000,171,0.021,0.001,24.535
fwt-space, fwt-space-social,0.000,8,1.000,80,0.012,0.001,14.658
fwt-space, fwt-space-social,0.000,8,1.000,80,0.011,0.001,14.519
fwt-space, fwt-space-social,0.000,8,1.000,80,0.010,0.001,14.584
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.002,0.001,7.108
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.194
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.240
fwt-running, fwt-running-header,0.365,10,1.000,86,0.011,0.001,16.507
fwt-running, fwt-running-header,0.281,10,0.900,88,0.013,0.001,16.717
fwt-running, fwt-running-header,0.365,10,1.000,86,0.018,0.001,16.817
fwt-running, fwt-running-navigation,0.304,14,1.000,109,0.016,0.001,22.975
fwt-running, fwt-running-navigation,0.306,14,1.000,109,0.017,0.001,22.794
fwt-running, fwt-running-navigation,0.304,14,1.000,109,0.017,0.001,24.500
fwt-running, fwt-running-content,0.280,12,1.000,147,0.017,0.001,28.676
fwt-running, fwt-running-content,0.280,12,1.000,148,0.018,0.001,30.284
fwt-running, fwt-running-content,0.280,12,1.000,148,0.018,0.001,30.927
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.013,0.001,15.980
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.014,0.001,15.843
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.014,0.001,15.783
synthetic, 2-boxes,0.000,3,1.000,15,0.002,0.000,8.239
synthetic, 2-boxes,0.000,3,1.000,15,0.002,0.000,8.082
synthetic, 2-boxes,0.000,3,1.000,15,0.002,0.001,8.088
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.000,9.462
synthetic, 3-boxes,0.000,4,1.000,25,0.004,0.000,9.335
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.001,9.319
synthetic, centered,0.000,2,1.000,5,0.001,0.001,7.002
synthetic, centered,0.000,2,1.000,5,0.001,0.001,6.928
synthetic, centered,0.000,2,1.000,5,0.001,0.001,6.985
synthetic, 2-2-boxes,0.000,7,1.000,61,0.008,0.001,12.336
synthetic, 2-2-boxes,0.000,7,1.000,55,0.013,0.001,12.358
synthetic, 2-2-boxes,0.000,7,1.000,55,0.009,0.001,13.552
synthetic, 3-2-boxes,0.000,8,1.000,65,0.010,0.001,13.720
synthetic, 3-2-boxes,0.000,8,1.000,65,0.010,0.001,13.595
synthetic, 3-2-boxes,0.000,8,1.000,74,0.010,0.001,13.428
duckduckgo, ddg-header,0.343,8,1.000,52,0.010,0.001,14.113
duckduckgo, ddg-header,0.341,8,1.000,51,0.010,0.001,14.128
duckduckgo, ddg-header,0.372,8,1.000,51,0.008,0.001,14.156
duckduckgo, ddg-logo,0.300,6,1.000,41,0.007,0.001,12.471
duckduckgo, ddg-logo,0.300,6,1.000,41,0.006,0.001,11.517
duckduckgo, ddg-logo,0.300,6,1.000,41,0.005,0.001,11.617
duckduckgo, ddg-searchbar,0.316,4,1.000,27,0.004,0.000,9.539
duckduckgo, ddg-searchbar,0.316,4,1.000,27,0.003,0.001,9.558
duckduckgo, ddg-searchbar,0.316,4,1.000,27,0.003,0.001,9.568
duckduckgo, ddg-privacy,0.340,15,1.000,145,0.022,0.001,27.231
duckduckgo, ddg-privacy,0.382,15,0.933,145,0.021,0.001,26.749
duckduckgo, ddg-privacy,0.381,15,0.933,146,0.021,0.002,26.753
duckduckgo, ddg-minipages,0.229,16,1.000,160,0.020,0.001,26.367
duckduckgo, ddg-minipages,0.229,16,1.000,160,0.021,0.001,25.314
duckduckgo, ddg-minipages,0.229,16,1.000,160,0.020,0.001,25.327
duckduckgo, ddg-large-blurb,0.270,5,1.000,40,0.005,0.000,10.152
duckduckgo, ddg-large-blurb,0.270,5,1.000,40,0.005,0.000,10.109
duckduckgo, ddg-large-blurb,0.270,5,1.000,40,0.005,0.000,10.170
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,5.994
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,6.014
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,5.990
