Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
personal, john-navigation,0.747,5,0.600,34,0.008,0.001,12.347
personal, john-navigation,0.383,5,1.000,30,0.006,0.000,11.838
personal, john-navigation,0.169,5,1.000,34,0.005,0.001,11.303
personal, john-sidebar,0.533,10,0.400,93,0.014,0.002,19.498
personal, john-sidebar,0.380,10,1.000,93,0.018,0.001,19.572
personal, john-sidebar,0.471,10,0.800,93,0.014,0.001,19.737
personal, john-bio,0.668,14,0.379,135,0.021,0.002,25.395
personal, john-bio,0.728,14,0.357,135,0.021,0.002,25.696
personal, john-bio,0.774,14,0.571,135,0.021,0.001,25.758
personal, john-pubs,0.510,20,0.700,223,0.038,0.004,71.600
personal, john-pubs,-,-,-,-,-,-,-,-
personal, john-pubs,0.530,20,0.700,223,0.040,0.003,58.640
icse, icse-logo,3.464,3,0.667,14,0.003,0.001,10.847
icse, icse-logo,3.464,3,0.667,14,0.003,0.001,8.573
icse, icse-logo,3.464,3,0.667,14,0.002,0.001,8.611
icse, icse-navigation,0.908,20,0.200,222,0.036,0.001,33.760
icse, icse-navigation,0.444,20,0.750,223,0.029,0.001,34.048
icse, icse-navigation,0.580,20,0.625,223,0.038,0.001,34.942
icse, icse-photos,1.048,20,0.905,231,0.033,0.002,33.410
icse, icse-photos,1.081,20,0.790,232,0.035,0.002,33.239
icse, icse-photos,0.898,20,0.850,231,0.037,0.002,33.365
icse, icse-tracks,0.391,25,0.740,384,0.049,0.002,56.731
icse, icse-tracks,0.410,25,0.700,384,0.060,0.004,56.103
icse, icse-tracks,0.468,25,0.700,384,0.070,0.003,57.563
icse, icse-dates,0.586,61,0.730,651,0.206,0.007,93.243
icse, icse-dates,0.682,61,0.484,647,0.196,0.004,93.951
icse, icse-dates,0.756,61,0.385,640,0.176,0.007,95.091
icse, icse-news,0.561,17,0.824,150,0.024,0.001,27.688
icse, icse-news,0.688,17,0.706,149,0.032,0.002,26.833
icse, icse-news,0.709,17,0.765,150,0.037,0.002,26.495
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-content,-,-,-,-,-,-,-,-
