Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
hackernews, hn-header,1.976,17,0.782,175,0.026,0.001,43.139
hackernews, hn-header,1.012,17,0.747,175,0.034,0.001,60.607
hackernews, hn-header,2.021,17,0.506,176,0.026,0.001,35.561
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-post,0.491,10,0.770,101,0.019,0.001,19.592
hackernews, hn-post,0.433,10,0.950,102,0.015,0.001,18.973
hackernews, hn-post,0.432,10,0.950,101,0.016,0.001,19.435
hackernews, hn-footer,0.314,11,0.909,129,0.019,0.001,21.978
hackernews, hn-footer,0.564,11,0.500,129,0.018,0.001,22.880
hackernews, hn-footer,0.667,11,0.364,128,0.018,0.002,36.608
hackernews, hn-search,0.336,2,1.000,7,0.002,0.001,7.572
hackernews, hn-search,0.431,2,1.000,7,0.001,0.001,7.387
hackernews, hn-search,0.336,2,1.000,7,0.001,0.001,7.199
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.000,9.195
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.001,9.241
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.001,8.992
ace, ace-option-toggle,0.592,7,0.857,59,0.010,0.001,15.278
ace, ace-option-toggle,0.672,7,0.571,59,0.013,0.003,15.002
ace, ace-option-toggle,0.583,7,0.857,59,0.010,0.001,15.020
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-sidebar-footer,0.465,11,1.000,130,0.020,0.001,20.925
ace, ace-sidebar-footer,0.434,11,1.000,131,0.019,0.000,20.959
ace, ace-sidebar-footer,0.620,11,0.455,126,0.018,0.001,23.018
ace, ace-editor,0.286,5,0.980,46,0.006,0.001,11.254
ace, ace-editor,0.286,5,0.980,46,0.007,0.001,11.264
ace, ace-editor,0.898,5,0.200,46,0.006,0.001,11.456
ace, ace-prompt,0.212,4,1.000,37,0.005,0.000,10.511
ace, ace-prompt,0.212,4,1.000,37,0.004,0.001,10.560
ace, ace-prompt,0.212,4,1.000,37,0.005,0.001,10.687
overview, overview-header,0.306,4,1.000,28,0.004,0.000,9.567
overview, overview-header,0.306,4,1.000,28,0.007,0.001,9.468
overview, overview-header,0.214,4,1.000,28,0.004,0.001,9.595
overview, overview-hero,0.249,10,1.000,94,0.015,0.001,17.273
overview, overview-hero,0.228,10,1.000,94,0.019,0.001,17.404
overview, overview-hero,0.164,10,1.000,94,0.014,0.001,17.453
overview, overview-authors,-,-,-,-,-,-,-,-
overview, overview-authors,-,-,-,-,-,-,-,-
overview, overview-authors,-,-,-,-,-,-,-,-
overview, overview-author,-,-,-,-,-,-,-,-
overview, overview-author,-,-,-,-,-,-,-,-
overview, overview-author,-,-,-,-,-,-,-,-
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,7.672
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,7.549
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,6.690
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-item,0.329,12,1.000,110,0.018,0.001,25.860
fwt-main, fwt-main-item,0.519,12,0.833,110,0.019,0.001,20.268
fwt-main, fwt-main-item,0.383,12,1.000,110,0.022,0.001,20.184
fwt-main, fwt-main-footer,0.476,19,0.789,172,0.035,0.002,30.163
fwt-main, fwt-main-footer,0.439,19,1.000,172,0.025,0.002,29.624
fwt-main, fwt-main-footer,0.448,19,0.895,172,0.026,0.002,29.895
ieee, ieee-navigation,0.652,23,0.783,185,0.037,0.002,35.876
ieee, ieee-navigation,1.488,23,0.261,183,0.031,0.004,34.008
ieee, ieee-navigation,0.726,23,0.522,186,0.037,0.004,35.315
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,6.215
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,6.277
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,6.337
ieee, ieee-authors,0.943,46,0.163,472,0.129,0.003,69.816
ieee, ieee-authors,0.953,46,0.043,478,0.147,0.002,69.955
ieee, ieee-authors,0.862,46,0.380,471,0.129,0.004,69.762
ieee, ieee-articles,0.850,27,0.593,239,0.053,0.003,40.765
ieee, ieee-articles,0.789,27,0.741,251,0.046,0.002,40.551
ieee, ieee-articles,0.805,27,0.611,239,0.046,0.003,40.533
ieee, ieee-news,0.627,36,0.250,373,0.082,0.002,50.710
ieee, ieee-news,0.629,36,0.278,369,0.080,0.001,50.700
ieee, ieee-news,0.410,36,0.931,369,0.091,0.002,50.523
ieee, ieee-conferences,1.243,62,0.185,624,0.209,0.011,91.900
ieee, ieee-conferences,0.813,62,0.315,615,0.240,0.006,92.030
ieee, ieee-conferences,0.854,62,0.218,623,0.198,0.008,92.262
ieee, ieee-footer,0.730,49,0.735,445,0.140,0.013,68.006
ieee, ieee-footer,0.851,49,0.347,432,0.150,0.006,68.224
ieee, ieee-footer,0.815,49,0.408,442,0.135,0.005,68.064
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,9.441
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,8.880
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.001,8.993
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.001,9.014
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.000,9.241
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.001,9.018
fwt-space, fwt-space-logo,0.343,11,0.855,152,0.019,0.001,25.241
fwt-space, fwt-space-logo,0.252,11,0.945,152,0.018,0.001,25.488
fwt-space, fwt-space-logo,0.280,11,0.909,153,0.021,0.001,25.076
fwt-space, fwt-space-featured,0.179,5,1.000,51,0.009,0.001,11.748
fwt-space, fwt-space-featured,0.319,5,0.680,51,0.007,0.000,13.862
fwt-space, fwt-space-featured,0.100,5,1.000,51,0.008,0.000,11.817
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.008,0.000,11.796
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.008,0.001,11.844
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.007,0.000,11.910
fwt-space, fwt-space-blogs,0.176,13,1.000,172,0.024,0.001,25.661
fwt-space, fwt-space-blogs,0.176,13,1.000,172,0.024,0.003,25.181
fwt-space, fwt-space-blogs,0.277,13,0.923,172,0.024,0.002,25.973
fwt-space, fwt-space-social,0.000,8,1.000,80,0.011,0.001,15.138
fwt-space, fwt-space-social,0.000,8,1.000,80,0.013,0.001,15.095
fwt-space, fwt-space-social,0.000,8,1.000,80,0.012,0.002,15.091
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.671
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.558
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.407
fwt-running, fwt-running-header,0.811,10,0.500,87,0.019,0.001,17.020
fwt-running, fwt-running-header,0.764,10,0.800,87,0.014,0.001,17.166
fwt-running, fwt-running-header,0.775,10,0.600,87,0.014,0.001,17.259
fwt-running, fwt-running-navigation,0.678,14,0.357,117,0.018,0.001,22.708
fwt-running, fwt-running-navigation,0.524,14,0.786,117,0.022,0.001,26.212
fwt-running, fwt-running-navigation,0.661,14,0.714,114,0.019,0.001,22.854
fwt-running, fwt-running-content,0.559,12,0.250,152,0.021,0.001,24.737
fwt-running, fwt-running-content,0.764,12,0.083,152,0.018,0.001,24.627
fwt-running, fwt-running-content,0.559,12,0.250,151,0.018,0.001,24.737
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.016,0.002,16.493
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.014,0.000,16.362
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.013,0.001,16.406
synthetic, 2-boxes,0.645,3,0.667,15,0.003,0.002,8.390
synthetic, 2-boxes,0.000,3,1.000,15,0.003,0.001,8.459
synthetic, 2-boxes,0.000,3,1.000,15,0.002,0.001,8.541
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.001,9.799
synthetic, 3-boxes,0.000,4,1.000,25,0.005,0.001,9.857
synthetic, 3-boxes,0.000,4,1.000,25,0.004,0.001,9.736
synthetic, centered,16.942,2,0.500,6,0.001,0.001,7.220
synthetic, centered,19.235,2,0.500,6,0.001,0.001,7.367
synthetic, centered,19.235,2,0.500,6,0.001,0.001,7.298
synthetic, 2-2-boxes,0.000,7,1.000,61,0.009,0.001,12.844
synthetic, 2-2-boxes,0.000,7,1.000,55,0.010,0.001,12.836
synthetic, 2-2-boxes,0.267,7,0.857,61,0.010,0.002,12.716
synthetic, 3-2-boxes,0.000,8,1.000,74,0.011,0.001,14.405
synthetic, 3-2-boxes,0.000,8,1.000,74,0.011,0.001,14.269
synthetic, 3-2-boxes,0.000,8,1.000,68,0.011,0.000,14.040
duckduckgo, ddg-header,1.675,8,0.125,54,0.009,0.001,14.522
duckduckgo, ddg-header,0.877,8,0.375,54,0.010,0.001,14.579
duckduckgo, ddg-header,1.643,8,0.125,55,0.010,0.001,14.342
duckduckgo, ddg-logo,0.426,6,0.917,42,0.007,0.001,12.052
duckduckgo, ddg-logo,0.365,6,0.950,43,0.007,0.001,11.983
duckduckgo, ddg-logo,0.430,6,0.950,42,0.008,0.001,11.998
duckduckgo, ddg-searchbar,0.507,4,0.875,28,0.007,0.001,9.982
duckduckgo, ddg-searchbar,0.320,4,0.950,28,0.004,0.001,10.705
duckduckgo, ddg-searchbar,0.449,4,0.900,28,0.005,0.001,10.033
duckduckgo, ddg-privacy,0.539,15,0.767,147,0.026,0.002,25.690
duckduckgo, ddg-privacy,0.441,15,0.853,147,0.026,0.002,25.579
duckduckgo, ddg-privacy,0.463,15,0.773,147,0.024,0.003,25.647
duckduckgo, ddg-minipages,0.268,16,0.938,160,0.024,0.001,25.978
duckduckgo, ddg-minipages,0.359,16,0.869,160,0.023,0.001,26.013
duckduckgo, ddg-minipages,0.261,16,0.938,160,0.033,0.002,26.306
duckduckgo, ddg-large-blurb,0.587,5,0.600,38,0.007,0.000,11.093
duckduckgo, ddg-large-blurb,0.346,5,1.000,40,0.005,0.001,10.602
duckduckgo, ddg-large-blurb,0.346,5,1.000,40,0.005,0.001,10.722
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,7.666
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,6.675
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,6.390
