Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
overview, overview-header,0.000,4,1.000,28,0.004,0.000,6.481
overview, overview-header,0.000,4,1.000,28,0.004,0.001,6.306
overview, overview-hero,0.001,10,1.000,100,0.018,0.001,7.643
overview, overview-hero,0.000,10,1.000,100,0.014,0.001,7.453
overview, overview-hero,0.000,10,1.000,100,0.013,0.001,7.386
overview, overview-authors,308.502,27,0.407,264,0.045,0.003,10.557
overview, overview-authors,308.502,27,0.407,264,0.044,0.002,10.460
overview, overview-authors,308.502,27,0.407,264,0.046,0.002,10.631
overview, overview-author,0.270,6,1.000,54,0.007,0.001,6.525
overview, overview-author,0.270,6,1.000,54,0.008,0.001,6.481
overview, overview-author,0.270,6,1.000,54,0.007,0.001,6.629
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.001,5.790
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,5.775
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,5.861
fwt-main, fwt-main-picker,0.239,137,1.000,1412,1.001,0.016,48.543
fwt-main, fwt-main-picker,0.191,137,1.000,1406,1.042,0.030,48.158
fwt-main, fwt-main-picker,0.209,137,1.000,1397,1.067,0.014,49.089
fwt-main, fwt-main-item,0.204,12,1.000,112,0.019,0.001,8.210
fwt-main, fwt-main-item,0.428,12,1.000,107,0.026,0.001,8.459
fwt-main, fwt-main-item,0.204,12,1.000,112,0.018,0.001,7.899
fwt-main, fwt-main-footer,0.100,19,1.000,167,0.028,0.002,9.858
fwt-main, fwt-main-footer,0.100,19,1.000,167,0.028,0.002,9.816
fwt-main, fwt-main-footer,0.100,19,1.000,167,0.030,0.001,9.786
ieee, ieee-navigation,0.150,23,1.000,175,0.038,0.003,10.712
ieee, ieee-navigation,0.150,23,1.000,175,0.037,0.003,10.582
ieee, ieee-navigation,0.150,23,1.000,176,0.031,0.003,10.965
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,5.824
ieee, ieee-search,0.150,1,1.000,0,0.000,0.001,5.761
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,5.825
ieee, ieee-authors,0.221,46,1.000,502,0.132,0.002,16.264
ieee, ieee-authors,0.221,46,1.000,476,0.123,0.003,16.268
ieee, ieee-authors,0.221,46,1.000,502,0.126,0.002,16.249
ieee, ieee-articles,0.175,27,1.000,267,0.050,0.002,11.055
ieee, ieee-articles,0.175,27,1.000,267,0.050,0.002,11.193
ieee, ieee-articles,0.175,27,1.000,267,0.045,0.002,11.118
ieee, ieee-news,0.260,36,1.000,383,0.077,0.001,13.243
ieee, ieee-news,0.260,36,1.000,363,0.086,0.001,13.349
ieee, ieee-news,0.260,36,1.000,383,0.084,0.002,13.141
ieee, ieee-conferences,0.169,62,1.000,631,0.187,0.009,20.244
ieee, ieee-conferences,0.169,62,1.000,640,0.195,0.008,20.491
ieee, ieee-conferences,0.169,62,1.000,621,0.190,0.008,20.728
ieee, ieee-footer,0.070,49,1.000,437,0.120,0.005,16.574
ieee, ieee-footer,0.064,49,1.000,455,0.120,0.009,16.618
ieee, ieee-footer,0.070,49,1.000,444,0.135,0.006,16.726
fwt-space, fwt-space-header,0.100,3,1.000,24,0.003,0.000,6.111
fwt-space, fwt-space-header,0.100,3,1.000,24,0.003,0.001,6.198
fwt-space, fwt-space-header,0.100,3,1.000,24,0.003,0.001,6.139
fwt-space, fwt-space-navigation,0.100,3,1.000,24,0.003,0.001,6.104
fwt-space, fwt-space-navigation,0.100,3,1.000,24,0.003,0.000,6.190
fwt-space, fwt-space-navigation,0.100,3,1.000,24,0.003,0.001,6.278
fwt-space, fwt-space-logo,0.177,11,1.000,172,0.019,0.001,8.157
fwt-space, fwt-space-logo,0.177,11,1.000,172,0.020,0.001,8.322
fwt-space, fwt-space-logo,0.205,11,1.000,168,0.020,0.001,8.181
fwt-space, fwt-space-featured,0.100,5,1.000,53,0.006,0.001,6.551
fwt-space, fwt-space-featured,0.100,5,1.000,53,0.007,0.000,6.608
fwt-space, fwt-space-featured,0.100,5,1.000,53,0.007,0.000,6.516
fwt-space, fwt-space-vids,0.248,5,1.000,53,0.007,0.001,6.456
fwt-space, fwt-space-vids,0.248,5,1.000,53,0.006,0.001,6.515
fwt-space, fwt-space-vids,0.248,5,1.000,53,0.007,0.001,6.622
fwt-space, fwt-space-blogs,0.316,13,1.000,173,0.028,0.001,8.388
fwt-space, fwt-space-blogs,0.213,13,1.000,182,0.021,0.001,8.378
fwt-space, fwt-space-blogs,0.176,13,1.000,186,0.027,0.001,8.247
fwt-space, fwt-space-social,0.000,8,1.000,86,0.012,0.001,7.034
fwt-space, fwt-space-social,0.000,8,1.000,86,0.013,0.001,7.385
fwt-space, fwt-space-social,0.000,8,1.000,86,0.013,0.001,7.072
fwt-space, fwt-space-footer,0.473,2,1.000,7,0.001,0.000,8.286
fwt-space, fwt-space-footer,0.473,2,1.000,7,0.001,0.000,6.947
fwt-space, fwt-space-footer,0.473,2,1.000,7,0.001,0.001,5.994
fwt-running, fwt-running-header,0.000,10,1.000,88,0.014,0.001,7.510
fwt-running, fwt-running-header,0.000,10,1.000,88,0.013,0.001,7.541
fwt-running, fwt-running-header,0.000,10,1.000,88,0.015,0.001,7.524
fwt-running, fwt-running-navigation,0.000,14,1.000,112,0.017,0.001,8.587
fwt-running, fwt-running-navigation,0.000,14,1.000,112,0.021,0.001,8.669
fwt-running, fwt-running-navigation,0.000,14,1.000,112,0.019,0.001,8.756
fwt-running, fwt-running-content,0.000,12,1.000,168,0.023,0.002,8.833
fwt-running, fwt-running-content,0.000,12,1.000,168,0.023,0.001,8.708
fwt-running, fwt-running-content,0.000,12,1.000,168,0.025,0.003,8.808
fwt-running, fwt-running-footer,0.000,9,1.000,98,0.014,0.001,7.193
fwt-running, fwt-running-footer,0.000,9,1.000,98,0.012,0.001,7.330
fwt-running, fwt-running-footer,0.000,9,1.000,98,0.016,0.001,7.392
synthetic, 2-boxes,0.000,3,1.000,15,0.003,0.001,6.171
synthetic, 2-boxes,0.000,3,1.000,15,0.002,0.001,6.188
synthetic, 2-boxes,0.000,3,1.000,15,0.002,0.001,6.171
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.001,6.339
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.001,6.414
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.001,6.490
synthetic, centered,36.745,2,0.500,4,0.001,0.001,6.135
synthetic, centered,36.745,2,0.500,4,0.001,0.001,6.013
synthetic, centered,36.745,2,0.500,4,0.001,0.001,6.066
synthetic, 2-2-boxes,0.000,7,1.000,61,0.009,0.001,6.910
synthetic, 2-2-boxes,0.000,7,1.000,55,0.008,0.001,6.909
synthetic, 2-2-boxes,0.000,7,1.000,61,0.008,0.001,6.895
synthetic, 3-2-boxes,0.000,8,1.000,74,0.010,0.002,6.968
synthetic, 3-2-boxes,0.000,8,1.000,74,0.011,0.001,6.919
synthetic, 3-2-boxes,0.000,8,1.000,65,0.010,0.001,7.270
duckduckgo, ddg-header,0.280,8,1.000,51,0.103,0.004,7.717
duckduckgo, ddg-header,0.280,8,1.000,51,0.010,0.001,10.036
duckduckgo, ddg-header,0.281,8,1.000,51,0.009,0.001,7.298
duckduckgo, ddg-logo,64.685,6,0.333,39,0.007,0.000,7.202
duckduckgo, ddg-logo,64.685,6,0.333,39,0.007,0.001,6.751
duckduckgo, ddg-logo,64.685,6,0.333,39,0.006,0.001,6.745
duckduckgo, ddg-searchbar,27.425,4,0.250,28,0.004,0.001,6.487
duckduckgo, ddg-searchbar,27.425,4,0.250,28,0.004,0.001,6.333
duckduckgo, ddg-searchbar,27.425,4,0.250,28,0.005,0.001,6.471
duckduckgo, ddg-privacy,0.229,15,1.000,140,0.019,0.002,9.044
duckduckgo, ddg-privacy,0.228,15,1.000,140,0.022,0.002,8.762
duckduckgo, ddg-privacy,0.198,15,1.000,140,0.022,0.002,8.863
duckduckgo, ddg-minipages,121.434,16,0.062,150,0.024,0.001,8.605
duckduckgo, ddg-minipages,121.434,16,0.062,150,0.025,0.001,8.849
duckduckgo, ddg-minipages,121.434,16,0.062,150,0.023,0.001,10.154
duckduckgo, ddg-large-blurb,63.477,5,0.800,42,0.005,0.001,6.510
duckduckgo, ddg-large-blurb,63.477,5,0.800,42,0.007,0.001,6.489
duckduckgo, ddg-large-blurb,63.477,5,0.800,42,0.005,0.001,6.457
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,5.765
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,5.781
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,5.898
