Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
personal, author-navigation,0.183,5,1.000,30,0.005,0.001,8.260
personal, author-navigation,0.183,5,1.000,30,0.006,0.001,7.122
personal, author-navigation,0.183,5,1.000,30,0.007,0.001,6.771
personal, author-sidebar,0.286,10,1.000,93,0.014,0.001,7.556
personal, author-sidebar,0.286,10,1.000,93,0.017,0.001,7.760
personal, author-sidebar,0.286,10,1.000,93,0.016,0.002,7.624
personal, author-bio,-,-,-,-,-,-,-,-
personal, author-bio,-,-,-,-,-,-,-,-
personal, author-bio,-,-,-,-,-,-,-,-
personal, author-pubs,0.186,20,1.000,223,0.036,0.002,44.481
personal, author-pubs,0.186,20,1.000,223,0.037,0.003,165.606
personal, author-pubs,-,-,-,-,-,-,-,-
icse, icse-logo,3.464,3,0.667,14,0.002,0.001,8.872
icse, icse-logo,3.464,3,0.667,14,0.003,0.001,6.353
icse, icse-logo,3.464,3,0.667,14,0.002,0.000,6.633
icse, icse-navigation,0.125,20,1.000,214,0.031,0.002,10.694
icse, icse-navigation,0.125,20,1.000,211,0.031,0.001,10.014
icse, icse-navigation,0.125,20,1.000,212,0.032,0.001,10.109
icse, icse-photos,135.125,20,0.350,230,0.031,0.003,9.665
icse, icse-photos,135.125,20,0.350,229,0.033,0.003,9.796
icse, icse-photos,135.125,20,0.350,229,0.037,0.003,9.936
icse, icse-tracks,0.146,25,1.000,359,0.047,0.002,16.591
icse, icse-tracks,0.146,25,1.000,358,0.062,0.003,16.563
icse, icse-tracks,0.146,25,1.000,359,0.052,0.002,18.280
icse, icse-dates,0.278,61,1.000,715,0.220,0.008,21.382
icse, icse-dates,0.278,61,1.000,715,0.196,0.007,21.009
icse, icse-dates,0.221,61,1.000,715,0.204,0.007,20.775
icse, icse-news,0.197,17,1.000,151,0.030,0.001,9.324
icse, icse-news,0.200,17,1.000,151,0.028,0.001,9.288
icse, icse-news,0.197,17,1.000,152,0.025,0.002,9.212
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-footer,0.226,79,1.000,1491,0.536,0.017,54.827
icse, icse-footer,0.225,79,1.000,1491,0.549,0.013,54.968
icse, icse-footer,0.214,79,1.000,1491,0.556,0.010,54.307
hackernews, hn-header,143.297,17,0.906,184,0.026,0.001,10.135
hackernews, hn-header,143.297,17,0.906,184,0.026,0.002,9.464
hackernews, hn-header,143.297,17,0.906,184,0.029,0.001,9.364
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-post,0.120,10,1.000,103,0.014,0.001,9.108
hackernews, hn-post,0.120,10,1.000,102,0.012,0.001,7.609
hackernews, hn-post,0.120,10,1.000,103,0.015,0.001,7.764
hackernews, hn-footer,0.125,11,1.000,137,0.016,0.001,8.500
hackernews, hn-footer,0.125,11,1.000,137,0.018,0.001,8.321
hackernews, hn-footer,0.125,11,1.000,137,0.016,0.001,8.328
hackernews, hn-search,0.180,2,1.000,7,0.002,0.000,5.977
hackernews, hn-search,0.180,2,1.000,7,0.001,0.001,6.085
hackernews, hn-search,0.180,2,1.000,7,0.001,0.001,6.014
ace, ace-sidebar,0.056,240,1.000,2461,4.029,0.036,110.263
ace, ace-sidebar,0.055,240,1.000,2461,3.641,0.046,108.629
ace, ace-sidebar,0.055,240,1.000,2464,4.249,0.045,106.095
ace, ace-options,0.040,228,1.000,2307,3.380,0.110,98.599
ace, ace-options,0.101,228,1.000,2325,3.428,0.024,100.209
ace, ace-options,0.021,228,1.000,2326,3.686,0.050,100.531
ace, ace-sidebar-logo,-,-,-,-,-,-,-,-
ace, ace-sidebar-logo,-,-,-,-,-,-,-,-
ace, ace-sidebar-logo,-,-,-,-,-,-,-,-
ace, ace-option-toggle,0.146,7,1.000,55,0.010,0.001,7.109
ace, ace-option-toggle,0.146,7,1.000,55,0.011,0.001,7.038
ace, ace-option-toggle,0.146,7,1.000,55,0.009,0.001,7.062
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-sidebar-footer,0.100,11,1.000,136,0.019,0.002,6.873
ace, ace-sidebar-footer,0.100,11,1.000,136,0.024,0.001,6.927
ace, ace-sidebar-footer,0.100,11,1.000,136,0.022,0.001,9.418
ace, ace-editor,0.054,5,0.980,46,0.005,0.001,6.804
ace, ace-editor,0.054,5,0.980,46,0.005,0.001,6.956
ace, ace-editor,0.054,5,0.980,46,0.005,0.001,6.523
ace, ace-prompt,0.000,4,1.000,42,0.005,0.001,6.346
ace, ace-prompt,0.000,4,1.000,41,0.004,0.001,6.380
ace, ace-prompt,0.000,4,1.000,41,0.004,0.001,6.425
overview, overview-header,0.000,4,1.000,28,0.003,0.001,6.354
