Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time,
personal,author-navigation,0.169,5,1,34,0.003,0,4.295,
personal,author-navigation,0.169,5,1,34,0.003,0,4.212,
personal,author-navigation,0.169,5,1,34,0.003,0,4.232,
personal,author-bio,0.326,14,0.9,129,0.013,0.001,11.83,
personal,author-bio,0.323,14,0.9,128,0.014,0.002,11.918,
personal,author-bio,0.333,14,0.9,129,0.014,0.001,11.659,
personal,author-pubs,-,20,-,-,-,-,-,-
personal,author-pubs,-,20,-,-,-,-,-,-
personal,author-pubs,-,20,-,-,-,-,-,-
icse,icse-logo,3.464,3,0.667,14,0.001,0,2.749,
icse,icse-logo,3.464,3,0.667,14,0.002,0,2.697,
icse,icse-logo,3.464,3,0.667,14,0.001,0.001,2.735,
icse,icse-photos,0.132,20,1,227,0.022,0.001,15.483,
icse,icse-photos,0.173,20,1,227,0.021,0.002,15.352,
icse,icse-photos,0.132,20,1,227,0.021,0.001,15.301,
icse,icse-tracks,0.228,25,0.94,334,0.036,0.002,50.055,
icse,icse-tracks,0.254,25,0.94,363,0.036,0.002,60.683,
icse,icse-tracks,0.228,25,0.94,363,0.037,0.001,49.533,
icse,icse-content,0.382,22,0.977,212,0.022,0.002,19.853,
icse,icse-content,0.388,22,0.977,206,0.025,0.002,24.541,
icse,icse-content,0.402,22,0.977,213,0.026,0.002,21.815,
icse,icse-footer,-,79,-,-,-,-,-,-
icse,icse-footer,-,79,-,-,-,-,-,-
icse,icse-footer,-,79,-,-,-,-,-,-
hackernews,hn-header,0.646,17,0.9,175,0.017,0.001,16.195,
hackernews,hn-header,0.661,17,0.841,174,0.019,0.001,17.939,
hackernews,hn-header,0.661,17,0.841,175,0.018,0.001,18.584,
hackernews,hn-post,0.298,10,0.95,97,0.008,0,8.599,
hackernews,hn-post,0.361,10,0.95,100,0.008,0.001,8.55,
hackernews,hn-post,0.247,10,0.93,95,0.008,0,8.208,
