Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
john,-,-,-,-,-,-,-,-
icse,-,-,-,-,-,-,-,-
hn,-,-,-,-,-,-,-,-
ace,-,-,-,-,-,-,-,-
overview,-,-,-,-,-,-,-,-
fwt-main,0.354,174,1.000,1719,0.001,0.000,140.535
ieeexplore,0.363,285,0.972,2812,0.002,0.000,221.242
fwt-space,0.260,63,1.000,734,0.000,0.000,44.519
fwt-running,0.276,48,1.000,477,0.000,0.000,35.446
ddg,0.335,57,1.000,543,0.000,0.000,37.712
john,-,-,-,-,-,-,-,-
icse,-,-,-,-,-,-,-,-
hn,-,-,-,-,-,-,-,-
ace,-,-,-,-,-,-,-,-
overview,-,-,-,-,-,-,-,-
fwt-main,0.299,174,1.000,1719,0.001,0.000,135.402
ieeexplore,0.365,285,0.958,2788,0.002,0.000,214.732
fwt-space,0.296,63,1.000,724,0.000,0.000,45.405
fwt-running,0.254,48,1.000,477,0.000,0.000,35.019
ddg,0.335,57,0.982,543,0.000,0.000,38.545
john,-,-,-,-,-,-,-,-
icse,-,-,-,-,-,-,-,-
hn,-,-,-,-,-,-,-,-
ace,-,-,-,-,-,-,-,-
overview,-,-,-,-,-,-,-,-
fwt-main,0.299,174,1.000,1720,0.001,0.000,137.345
ieeexplore,0.370,285,0.958,2799,0.003,0.000,216.170
fwt-space,0.221,63,1.000,728,0.000,0.000,43.409
fwt-running,0.266,48,1.000,482,0.000,0.000,34.749
ddg,0.274,57,0.998,543,0.000,0.000,37.490
