Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time,
duckduckgo,ddg-large-blurb,0.27,5,1,40,0.003,0.001,4.157,
duckduckgo,ddg-large-blurb,0.27,5,1,40,0.003,0,4.003,
duckduckgo,ddg-faq,0.217,1,1,0,0,0,1.746,-
duckduckgo,ddg-faq,0.217,1,1,0,0,0,1.776,-
duckduckgo,ddg-faq,0.217,1,1,0,0,0,1.765,-
icse,icse-navigation,0.292,20,0.875,215,0.021,0.001,18.413,
icse,icse-navigation,0.292,20,0.875,213,0.021,0.001,17.977,
icse,icse-navigation,0.292,20,0.875,214,0.019,0.001,19.066,
hackernews,hn-posts,-,575,-,-,-,-,-,
hackernews,hn-posts,-,575,-,-,-,-,-,
hackernews,hn-posts,-,575,-,-,-,-,-,
personal,author-sidebar,0.298,10,1,92,0.008,0.001,8.513,
personal,author-sidebar,0.584,10,0.5,92,0.009,0.001,8.71,
personal,author-sidebar,0.584,10,0.5,92,0.009,0.001,8.441,
icse,icse-news,0.412,17,1,142,0.014,0.001,12.494,
icse,icse-news,0.52,17,0.471,141,0.016,0.001,12.346,
icse,icse-news,0.558,17,0.529,144,0.015,0.001,12.408,
ace,ace-options,-,228,-,-,-,-,-,
ace,ace-options,-,228,-,-,-,-,-,
ace,ace-options,-,228,-,-,-,-,-,
icse,icse-dates,0.393,61,0.885,642,0.138,0.005,47.147,
icse,icse-dates,0.512,61,0.787,642,0.137,0.005,47.69,
icse,icse-dates,0.512,61,0.787,642,0.132,0.005,48.125,
duckduckgo,ddg-minipages,0.229,16,1,160,0.014,0.001,12.025,
duckduckgo,ddg-minipages,0.229,16,1,160,0.015,0.001,12.149,
duckduckgo,ddg-minipages,0.229,16,1,160,0.015,0.001,12.194,
ieee,ieee-conferences,0.427,62,0.839,632,0.141,0.004,47.832,
ieee,ieee-conferences,0.416,62,0.871,631,0.144,0.005,48.192,
ieee,ieee-conferences,0.399,62,0.919,629,0.145,0.005,47.698,
ieee,ieee-authors,0.344,46,0.989,465,0.083,0.001,35.782,
ieee,ieee-authors,0.459,46,0.685,454,0.091,0.001,35.901,
ieee,ieee-authors,0.344,46,0.989,464,0.088,0.002,36.957,
hackernews,hn-footer,0.175,11,1,128,0.011,0,9.424,
hackernews,hn-footer,0.175,11,1,128,0.011,0.001,9.629,
hackernews,hn-footer,0.175,11,1,128,0.011,0,9.552,
ieee,ieee-articles,0.448,27,0.833,269,0.032,0.001,19.674,
ieee,ieee-articles,0.336,27,1,271,0.03,0.001,19.076,
ieee,ieee-articles,0.437,27,0.833,271,0.031,0.002,19.519,
