
4,9.00,119,0.00,0.0398,0.00557,26.9,1.00
6,6.00,0.00,-,-,-,-,-
12,22.0,437,0.00,0.163,0.0162,76.9,1.00
20,18.0,294,0.00,0.0912,0.00500,57.8,1.00
21,6.00,49.0,0.00,0.0257,0.00271,17.0,1.00
24,10.0,177,0.00,0.0417,0.00186,31.0,1.00
27,34.0,470,0.513,0.152,0.00729,85.4,0.941
30,13.0,263,0.00,0.0944,0.0175,39.4,1.00
37,11.0,144,0.00,0.0389,0.00475,47.9,1.00
40,9.00,135,1.84e-13,0.0416,0.00196,30.7,1.00
46,21.0,358,0.00,0.0831,0.00476,58.0,1.00
52,7.00,73.0,0.00,0.0184,0.00574,16.9,1.00
54,12.0,155,0.00,0.0459,0.00383,29.1,1.00
56,11.0,164,0.00,0.0468,0.00440,32.3,1.00
61,14.0,201,0.350,0.0677,0.0175,60.3,0.929
66,14.0,225,0.00,0.0570,0.00335,39.5,1.00
70,12.0,206,0.00,0.0588,0.00530,31.3,1.00
73,14.0,0.00,-,-,-,-,-
74,15.0,317,0.00,0.0717,0.00374,58.9,1.00
82,12.0,161,1.18,0.0441,0.00294,34.7,0.250
88,11.0,203,0.00,0.0478,0.00331,35.6,1.00
89,4.00,36.0,0.00,0.0110,0.00165,11.5,1.00
91,9.00,0.00,-,-,-,-,-
93,14.0,200,0.350,0.0769,0.0100,56.1,0.929
95,9.00,0.00,-,-,-,-,-
98,4.00,32.0,0.00,0.00882,0.00392,15.0,1.00
106,11.0,155,0.00,0.0450,0.00329,31.4,1.00
107,12.0,135,0.00,0.0598,0.00524,28.9,1.00
109,12.0,159,9.30e-14,0.0696,0.00295,32.2,1.00
111,21.0,413,0.00,0.0906,0.00766,63.0,1.00
112,12.0,156,0.00,0.0439,0.00409,28.6,1.00
114,18.0,332,0.00,0.0802,0.00550,88.0,1.00
133,15.0,263,0.00,0.0593,0.00680,41.3,1.00
138,6.00,58.0,227,0.0219,0.00223,15.2,0.833
145,6.00,0.00,-,-,-,-,-
146,6.00,0.00,-,-,-,-,-
148,15.0,0.00,-,-,-,-,-
